mem.,北海道札幌市中央区南２条西２７丁目２－８　ヴェルデマンティス１Ｆ ,円山公園駅より徒歩2分マルヤマクラスを裏山道側に出て右に100m程進み六花亭の手前路地を左に曲がり100m程進み右手のマンション一階の路面店になります ,<月・木>10:00～18:00<火・日・祝>10:00～19:00<金・土>10:00～20:00 ,水曜日 ,"【眼精疲労がつらい方へ】深眠体験♪頭浸浴ヘッドスパ90分11,000円→8,800円","【頭浸浴を体験♪】ヘッドスパ90分11,000円→9,900円","【話題沸騰！！】大注目《極上頭身浴ヘッドスパ》90分11,000円→8,800円",https://beauty.hotpepper.jp/kr/slnH000647665/?cstt=1,https://imgbp.hotp.jp/CSP/IMG_SRC_K/44/33/C034034433/C034034433.jpg?impolicy=HPB_policy_default&w=419&h=314
極上睡眠ドライヘッドスパ　仙豆のちから　札幌琴似店,北海道札幌市西区琴似２条５丁目２－２大野屋ビル２０１ ,琴似駅1番出口を右に出て（左手にイオンさんが見えます）、通りに沿って1分程度歩いていただくと、ピタットハウスさんがあります。そちらのビルの2階に極上睡眠ドライヘッドスパの看板が見えるところが当店です。 ,12：30～22：00（最終受付20：30） ,不定休 ,"60分【お得に通って睡眠改善♪】ヘッド＋上半身  ¥6,000→¥4,200","75分【首、肩が辛い方にオススメ】へッド＋上半身 ¥7,500→¥5,200","90分【全身疲れている方へ】ヘッド～足裏まで￥9,000→￥6,200",https://beauty.hotpepper.jp/kr/slnH000581649/?cstt=2,https://imgbp.hotp.jp/CSP/IMG_SRC_K/22/96/C027072296/C027072296.jpg?impolicy=HPB_policy_default&w=419&h=314
夜空のすいみん牧場　アロマヘッドスパ専門店　ひつじのフェルメー　札幌大通店,北海道札幌市中央区南１条西１丁目１６－４　シルキービル６０１号室 ,【狸小路方面から】萬田記念病院さん横(創成川沿いに)のコインパーキングを挟んだビル（シルキービル）６Fにございます☆【地下鉄東豊線大通駅34番出口（ジュンク堂さん）から】出口から、右(創成川方面)に歩き、角のローソンを右に曲がりましたら、1階に日動さんが入っている１１階建てのビル（シルキービル）の６Fにございます♪場所がわからない場合は気軽に連絡下さいませ◎０７０－８５７２－８３４５#個室#ヘッドスパ ,"平日11:00～20:00／土日祝10:00～19:00※最終受付は若干の変動がございます!!! 時間とメニューにより最終受付を過ぎてしまう場合はお気軽ご相談くださいませ◎【０７０－８５７２－８３４５】 ",不定休 ,★NEWひつじ★ヘッドスパ＋専用ブラシ＋肩首マッサージ【７０分】８４８０,◎平日昼割【10:00～15：00限定】ヘッドスパ＋選べるシャンプー【50分】5480,"【初ひつじ◎】50分 脳HUG ヘッドスパ ５９８０",https://beauty.hotpepper.jp/kr/slnH000590837/?cstt=3,https://imgbp.hotp.jp/CSP/IMG_SRC_K/91/72/C039839172/C039839172.jpg?impolicy=HPB_policy_default&w=419&h=314
ドライヘッドマッサージ・ラヴァーズ,北海道札幌市中央区南１条西５丁目１７　セントラル富士５０１ ,地下鉄大通駅1番出口を地上に上がり昭和ビルの中を通り抜けて中通りへ。ビルを出るとすぐ目の前にガラス扉のセントラル富士があります。地上からお越し頂く場合は、市電通りを西方向、コメダ珈琲に向かって右側歩道を歩く。2つ目交差点(ローソン手前)右手角にdocomoショップがあります。docomoショップを右折し、次の中通りをもう一度右折。手前から二つ目のガラス張り扉のビル「セントラル富士」５階501号室です ,10時から20時(最終受付は19時(施術内容により変わります)日曜日10時から17時。直前予約の場合は電話での確認を御願い致します。サロン固定電話は施術中は出られない事がある為、携帯090-8273-2205までお願いします ,定休日なし・土日も営業、再来の方は時間外OK　【ヘッドスパ・睡眠改善・肩首コリ改善・小顔矯正】 ,【実は初回料金よりお得】フリークーポン　40000円又は60000円(プレゼント付),【食いしばり改善】骨盤矯正＋頭蓋骨調整＋咬筋ほぐし＆顎関節調整　8990円,【まずは癒されたい方にオススメ】ドライヘッドスパ　60分　7800円⇒6480円,https://beauty.hotpepper.jp/kr/slnH000170621/?cstt=4,https://imgbp.hotp.jp/CSP/IMG_SRC_K/87/82/C039878782/C039878782.jpg?impolicy=HPB_policy_default&w=419&h=314
ドライヘッドスパTSUKI,北海道帯広市西２条南３０丁目５－４CHEER２　１０１ , ,11:00～18:00 ,月曜日/祝日 ,"ドライヘッドスパ×疲労回復フットマッサージ 60分","【口コミ応援】人気NO.1♪頭痛/眼精疲労/可逆睡 60分","ドライヘッドスパ×疲労回復フットマッサージ 60分",https://beauty.hotpepper.jp/kr/slnH000649702/?cstt=5,https://imgbp.hotp.jp/CSP/IMG_SRC_K/30/28/C033783028/C033783028.jpg?impolicy=HPB_policy_default&w=419&h=314
［ヘッド/マッサージ/足つぼ/酸素カプセル］relaxy【リラクシー】,北海道札幌市中央区南４条西２－２－４　RECOLTE　SAPPORO　（メルキュールホテル）　２F ,"地下鉄「豊水すすきの駅3番出口」から西へ徒歩1分、「すすきの駅3番出口」から東へ徒歩3分、国道36号線沿い南側に面しておりますRECOLTE SAPPORO(メルキュールホテル札幌)2Fにリラクシ-がございます。〒064-0804 札幌市中央区南４条西２丁目２－４ ",10:00～23:00※3/6(水)研修の為、定休日となります。3/2（木）は11時～の営業となります。 ,無休（12月31日～1月3日除く）揉みほぐし/アロマリンパ/足つぼ/ヘッド/ハイパーナイフ/酸素カプセル/整体 ,"【当店人気ＮＯ.1リピーターＯＫ】極上全身アロマリンパ90分 ¥16500⇒¥13860","人気No4 もみほぐし60分+足つぼリフレ30分【贅沢アロマフットバス付】￥8900","【当店人気ＮＯ.1リピーターＯＫ】極上全身アロマリンパ90分 ¥16500⇒¥13860",https://beauty.hotpepper.jp/kr/slnH000325567/?cstt=6,https://imgbp.hotp.jp/CSP/IMG_SRC_K/74/41/C031177441/C031177441.jpg?impolicy=HPB_policy_default&w=419&h=314
リラクゼーション　Rosst,北海道恵庭市恵み野西２丁目２－１３ ,"◆JR千歳線 恵み野駅、東口から徒歩3分。東口から出ていただき、交差点を渡り、右側のアーケードの1番奥となります。近隣店舗(トモエベーグル様)ご不明な点がございましたら、お気軽にお問い合わせください。 ","11:00～22:00/予約最終受付20:00  ",毎週月曜日 ,【肩こりの方におすすめ☆】全身マッサージ60分＋ヘットスパ15分¥5000→¥4500,【肩こりに】全身マッサージ　90分　¥6500→¥5500,【スペシャルクーポン☆】全身マッサージ60分＋ヘットスパ30分　¥6000→¥5000,https://beauty.hotpepper.jp/kr/slnH000478977/?cstt=7,https://imgbp.hotp.jp/CSP/IMG_SRC_K/35/20/C030563520/C030563520.jpg?impolicy=HPB_policy_default&w=419&h=314
ドライヘッドスパねこの手,北海道函館市本通４丁目２８－５ ,産業道路の山の手ダイソーの向い側です。美容室AUBEHAIR　lapiaの隣で交差点の角になります。 ,土日10：00～18：00月曜日～金曜日　19：00～21：00　 ,不定休 ,ハッピーバースデー企画　誕生月の方限定　ヘッドスパ40分￥4400→￥2200,ロング！ドライヘッドスパ100分☆首オイルマッサージ込￥6600,ドライヘッドスパ50分☆￥5500→￥3300,https://beauty.hotpepper.jp/kr/slnH000668468/?cstt=8,https://imgbp.hotp.jp/CSP/IMG_SRC_K/75/70/C037347570/C037347570.jpg?impolicy=HPB_policy_default&w=419&h=314
極上睡眠ドライヘッドスパサロン　仙豆のちから　札幌大通店,"北海道札幌市中央区南１条西７丁目１９－２ スペチアーレ大通２０２ ","電車通りと大通公園の中通りにございます。大通駅からいらっしゃる方は1番出口（昭和ビル）を出てテレビ塔と反対方向に、西11丁目からいらっしゃる方は３番出口（南大通ビル）を出てテレビ塔方面に歩いてください。近隣には、スカイビルさん、札幌スイーツ&カフェ専門学校さんがございます。また、インターフォンは「２０２ 呼出ボタン」を押してください。 ",11:00～21:00(最終受付20:00) ,年中無休（年末年始除く） ,"【平日限定割引♪】極上睡眠ドライヘッドスパ60分4,400円＜口コミ限定＞",【回数券】極上睡眠ドライヘッドスパ60分コース,【当店1番人気★迷ったらコレ♪】極上睡眠ドライヘッドスパ60分コース♪,https://beauty.hotpepper.jp/kr/slnH000610830/?cstt=9,https://imgbp.hotp.jp/CSP/IMG_SRC_K/03/90/C032140390/C032140390.jpg?impolicy=HPB_policy_default&w=419&h=314
ヘッド&アロマオイルリンパ専門店　ARVISS【アルビス】,北海道札幌市手稲区手稲本町１条３丁目４－１２　ポルトライズ３０１ ,"手稲駅南口1番出口から出て左手に進み、鳥太郎の向かいのビルPorte Riseーポルトライズ301号室のインターホンを押してください。【専用駐車場】駐車場はマンションの１階(屋根付屋内)にご用意ございます。ビル向かって左手の細い通路を進みますと駐車場がございます。真ん中のブース３番がアルビスの駐車場となっております※ビル隣の敷地【青空駐車場3番】はご利用いただけませんのでお気をつけくださいませ。 ",◎10:00～21:00（最終受付20：00）◎19:00以降ホットペッパーでのご予約が出来ない場合でもご予約可能な場合もございます　ホットペッパーでご予約出来ない場合お電話でお問合せ下さいませ。　 ,年末年始他 ,"極眠ヘッドスパ＋全身マッサージ　 60分  ","極眠ヘッドスパ＋全身マッサージ　 90分",平日限定◆Happyプライス◆極眠ヘッドスパ+全身オイルリンパマッサージ90分　,https://beauty.hotpepper.jp/kr/slnH000465851/?cstt=10,https://imgbp.hotp.jp/CSP/IMG_SRC_K/02/30/C030060230/C030060230.jpg?impolicy=HPB_policy_default&w=419&h=314
